site,start1,start2,x_mean,y_mean,x_std,y_std,correlation,duration,kind,variable
10ABAM_OR,273,66,3.0,0.0388670354746472,6.611677980232077,0.0852216654021425,0.9999401340300332,2,pearson,exp_dt_over_n_vs_n
11ABAM_OR,187,268,3.375,inf,9.545941546018392,,1.0000000000000004,7,pearson,exp_dt_over_n_vs_n
12ABGR_OR,267,220,13.625,inf,26.90691626435744,,1.0000000000001794,8,pearson,exp_dt_over_n_vs_n
13ABMAS_OR,274,110,9.25,0.1742167167168807,11.961246948852306,0.2330447683493004,0.9982718798937892,1,pearson,exp_dt_over_n_vs_n
14ABPR_OR,273,261,2.25,0.1584891047640033,5.203021100421233,0.3672494798169146,0.9999824555107356,2,pearson,exp_dt_over_n_vs_n
15ABPR_OR,257,236,1.125,inf,1.4577379737113252,,0.9982409956235816,18,pearson,exp_dt_over_n_vs_n
16PIMO3_OR,130,250,5.125,inf,11.921619017566364,,1.0000000000000124,25,pearson,exp_dt_over_n_vs_n
17TSME_OR,267,241,10.75,inf,30.003571216011697,,1.0,8,pearson,exp_dt_over_n_vs_n
18TSME_OR,269,136,2.5,inf,7.071067811865476,,1.0000000000000004,6,pearson,exp_dt_over_n_vs_n
19TSME_OR,274,74,0.875,0.0174072142072951,2.4748737341529163,0.0492350368301807,1.0000000000000002,1,pearson,exp_dt_over_n_vs_n
1ABAM_OR,260,261,5.0,inf,11.180339887498947,,1.0000000000000004,14,pearson,exp_dt_over_n_vs_n
21PIEN_WA,94,83,166.66666666666666,7.1,288.6751345948129,2.211003e-06,1.0000000000582077,1,pearson,dt_vs_n
22ABAM_WA,274,174,0.75,0.213075499789513,2.1213203435596424,0.6026685232235099,1.0000000000000004,1,pearson,exp_dt_over_n_vs_n
23ABLA_WA,272,122,2.125,0.0493464130418037,3.313931631332013,0.0770677543968581,0.999992629501842,3,pearson,exp_dt_over_n_vs_n
25TSME_WA,238,204,1.0,inf,1.927248223318863,,1.0000000000000058,37,pearson,exp_dt_over_n_vs_n
26TSME_WA,248,232,1.875,inf,3.943801646707328,,1.0000000000000018,27,pearson,exp_dt_over_n_vs_n
27PIMO3_WA,258,265,11.625,20.701668,22.809380902226547,50.60752,0.989309497309462,10,pearson,exp_dt_vs_n
28ABAM_WA,240,235,1.5,inf,3.2071349029490928,,1.0000000000000002,35,pearson,exp_dt_over_n_vs_n
2ABCO_OR,264,240,16.625,inf,30.978967519454688,,1.0000000000000016,11,pearson,exp_dt_over_n_vs_n
30ABAM_WA,273,211,1.0,inf,1.8516401995451028,,1.0,2,pearson,exp_dt_over_n_vs_n
31ABAM_WA,247,219,1.2857142857142858,inf,2.3603873774083297,,1.0000000000002125,28,pearson,exp_dt_over_n_vs_n
33ABAM_WA,262,127,1.375,inf,3.8890872965260113,,1.0000000000000004,13,pearson,exp_dt_over_n_vs_n
35ABAM_WA,248,181,0.875,inf,1.6420805617960927,,1.0000000000000056,27,pearson,exp_dt_over_n_vs_n
36ABAM_WA,266,242,1.0,inf,2.449489742783178,,1.0000000000000002,9,pearson,exp_dt_over_n_vs_n
37ABAM_WA,245,203,0.875,inf,1.807721533549109,,1.0000000000000078,30,pearson,exp_dt_over_n_vs_n
39ABGR_WA,95,200,28.666666666666668,15.740108,49.652123150307816,0.059991624,1.0000000000000042,64,pearson,dt_vs_n
3ABCO_OR,235,60,8.583333333333334,0.1187211117690705,18.81238414187445,0.2599996270834823,0.998839333489205,2,pearson,exp_dt_over_n_vs_n
40ABGR_WA,202,60,16.666666666666668,0.1454942612625482,38.07734310546121,0.2812954964548687,0.948699073186968,1,pearson,exp_dt_over_n_vs_n
43ABMAS_WA,211,159,4.4,0.0583523279404255,9.838699100999076,0.1304797719201518,1.0000000000000004,1,pearson,exp_dt_over_n_vs_n
44ABPR_WA,240,74,6.0,0.1111529609347737,10.73046397612224,0.198810226687483,0.9999998960098132,35,pearson,exp_dt_over_n_vs_n
45ABPR_WA,145,212,9.4,inf,13.107249902248755,,1.0000000000009497,63,pearson,exp_dt_over_n_vs_n
46ABPR_WA,261,79,5.5,0.1151197828486235,8.89622712968015,0.1991126309564024,0.9988685091296378,14,pearson,exp_dt_over_n_vs_n
48ABPR_WA,238,81,6.375,0.1480942331742736,9.99910710299389,0.2323919271409707,0.999998645036248,37,pearson,exp_dt_over_n_vs_n
49ABPR_WA,238,187,13.5,inf,29.41331088372843,,1.0000000000001188,37,pearson,exp_dt_over_n_vs_n
4ABLA_OR,127,97,1.0,inf,2.070196678027062,,0.9999979294460718,148,pearson,exp_dt_over_n_vs_n
50ABPR_WA,153,216,38.333333333333336,inf,64.67096205665517,,1.000000000001462,43,pearson,exp_dt_over_n_vs_n
54PIMO3_WA,238,145,58.5,0.9847330835177172,64.34671708797582,2.5540551382509097e-08,1.0000000015368624,1,pearson,exp_dt_over_n_vs_n
