Code ,REF,SPECIES,GENUS,FAMILY,NRCS_GENUS,NRCS_SPECIES,SITE,COUNTRY,STATE_PROVINCE,LATITUDE,LONGITUDE,ELEVATION_m,STRTYR,ENDYR,Nyears,COMMENTS,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014
1ABAM_OR,SCHULZE & FRANKLIN 2018; FRANKLIN ET AL 1974,ABIES AMABILIS,ABIES,PINACEAE,ABIES,ABAM,SANTIAM PASS,USA,OR,44.39085,-121.8494,1446.1,1962,2002,41,UPDATED FROM FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,6,0,21,0,0,25,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2ABCO_OR,SCHULZE & FRANKLIN 2019,ABIES CONCOLOR,ABIES,PINACEAE,ABIES,ABCO,ASHLAND RNA,USA,OR,42.10711,-122.69266,1400,1981,2017,34,"Andrews Forest LTER, initiated by Franklin in 64",NA,35,3,0,12,0,0,41,0,1,0,203,0,2,0,155,0,80,0,78,0,31,0,54,0,0,73,0,0,29,0,6,0,0,60
3ABCO_OR,SCHULZE & FRANKLIN 2019,ABIES CONCOLOR,ABIES,PINACEAE,ABIES,ABCO,WICKIUP SPRINGS,USA,OR,42.6058,-122.2966,1479,1981,2017,33,"Andrews Forest LTER, initiated by Franklin in 68",NA,22,0,0,0,7,0,42,0,0,0,64,0,20,0,0,0,85,0,40,0,0,0,48,0,0,0,0,0,NA,0,12,0,0,0
4ABLA_OR,SCHULZE & FRANKLIN 2019,ABIES LASIOCARPA,ABIES,PINACEAE,ABIES,ABLA,SAND MOUNTAIN,USA,OR,44.383333,-121.921667,1421.5,1959,2019,54,LARGER LTER DATASET REPLACES WOODWARD ET AL. 1994 DATA,0,1,26,0,0,6,0,2,0,0,0,95,0,0,0,0,0,2,0,19,0,0,1,2,0,0,1,0,0,10,0,2,0,0,6
5ABMA_OR,SCHULZE & FRANKLIN 2019,ABIES MAGNIFICA,ABIES,PINACEAE,ABIES,ABMA,MERIDIAN OVERLOOK,USA,OR,42.06784,-122.76418,2109,1981,2017,34,"Andrews Forest LTER, initiated by Franklin in 66",NA,0,9,0,0,10,8,0,0,3,1,118,0,1,0,0,39,4,0,5,0,0,20,82,0,3,41,0,9,1,25,17,0,21,1
6ABMA_OR,SCHULZE & FRANKLIN 2019,ABIES MAGNIFICA,ABIES,PINACEAE,ABIES,ABMA,WICKIUP SPRINGS,USA,OR,42.6058,-122.2966,1479,1981,2017,33,"Andrews Forest LTER, initiated by Franklin in 69",NA,22,0,0,0,13,1,6,0,12,0,0,38,0,0,1,0,73,0,21,0,0,1,82,0,1,1,0,6,NA,0,25,0,17,0
7PILA_OR,SCHULZE & FRANKLIN 2019,PINUS LAMBERTIANA,PINUS,PINACEAE,PINUS,PILA,ASHLAND RNA,USA,OR,42.10711,-122.69266,1400,1981,2017,34,"Andrews Forest LTER, initiated by Franklin in 65",NA,0,22,0,0,0,0,40,1,1,2,0,0,0,0,11,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
8TSME_OR,SCHULZE & FRANKLIN 2019,TSUGA MERTENSIANA,TSUGA,PINACEAE,TSUGA,TSME,MERIDIAN OVERLOOK,USA,OR,42.06784,-122.76418,2109,1981,2017,34,"Andrews Forest LTER, initiated by Franklin in 67",NA,9,53,0,0,400,0,0,0,55,0,613,0,0,0,68,0,108,0,135,0,0,0,530,0,0,325,0,0,215,0,340,0,35,145
9TSME_OR,SCHULZE & FRANKLIN 2019,TSUGA MERTENSIANA,TSUGA,PINACEAE,TSUGA,TSME,SANTIAM PASS,USA,OR,44.39085,-121.8494,1446.1,1962,2003,42,LARGER LTER DATASET REPLACES WOODWARD ET AL. 1994 DATA,51,17,300,0,0,200,0,0,0,0,0,0,0,0,0,0,0,98,0,30,0,0,0,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10ABAM_OR,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES AMABILIS,ABIES,PINACEAE,ABIES,ABAM,IRON MOUNTAIN,USA,OR,44.39151,-122.14656,1219.5,1962,2019,53,UPDATED FROM FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,25,10,51,0,0,97,0,0,3,1,0,40,3,0,0,0,0,83,0,20,10,0,4,50,0,1,1,4,0,65,0,28,0,3,19
11ABAM_OR,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES AMABILIS,ABIES,PINACEAE,ABIES,ABAM,WILDCAT MOUNTAIN,USA,OR,44.35633,-122.1086,1577.1,1967,2019,48,NOT PRESENT IN FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,19,0,12,0,0,27,0,0,0,0,0,29,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12ABGR_OR,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES GRANDIS,ABIES,PINACEAE,ABIES,ABGR,BESSIE ROCK,USA,OR,42.82,-121.5,1423,1967,2016,48,NOT PRESENT IN FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,10,100,0,0,100,0,0,96,0,29,0,330,0,33,0,208,0,80,0,115,0,60,0,100,0,2,72,0,1,110,0,30,0,0,37
13ABMAS_OR,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES MAGNIFICA SHASTENTIS,ABIES,PINACEAE,ABIES,ABMAS,BESSIE ROCK,USA,OR,42.84,-121.5,1423,1966,2016,49,NOT PRESENT IN FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,10,38,1,0,3,2,21,1,0,19,0,0,23,0,0,1,1,65,0,38,0,0,11,56,0,4,10,0,0,47,0,20,0,19,32
14ABPR_OR,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES PROCERA,ABIES,PINACEAE,ABIES,ABPR,MARYS PEAK,USA,OR,44.5043,-123.5509,1215.1,1962,2017,53,UPDATED FROM FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,21,13,78,0,0,131,2,43,25,26,0,98,1,15,0,133,0,46,0,65,21,75,1,88,0,0,15,66,0,77,0,41,0,38,0
15ABPR_OR,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES PROCERA,ABIES,PINACEAE,ABIES,ABPR,WILDCAT MOUNTAIN,USA,OR,44.37633,-122.1086,1577.1,1962,2019,53,UPDATED FROM FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,20,6,43,0,0,60,2,5,4,0,0,22,14,0,0,74,0,13,0,3,1,0,2,23,0,3,4,9,1,28,0,31,0,2,1
