"Group.1","10ABAM_OR","11ABAM_OR","12ABGR_OR","13ABMAS_OR","14ABPR_OR","15ABPR_OR","16PIMO3_OR","17TSME_OR","18TSME_OR","19TSME_OR","1ABAM_OR","21PIEN_WA","22ABAM_WA","23ABLA_WA","25TSME_WA","26TSME_WA","27PIMO3_WA","28ABAM_WA","2ABCO_OR","30ABAM_WA","31ABAM_WA","33ABAM_WA","35ABAM_WA","36ABAM_WA","37ABAM_WA","39ABGR_WA","3ABCO_OR","40ABGR_WA","43ABMAS_WA","44ABPR_WA","45ABPR_WA","46ABPR_WA","48ABPR_WA","49ABPR_WA","4ABLA_OR","50ABPR_WA","54PIMO3_WA","55PIMO3_WA","57PIMO3_WA","58TSME_WA","59TSME_WA","5ABMA_OR","60TSME_WA","6ABMA_OR","7PILA_OR","8TSME_OR","9TSME_OR","year"
"05-05 to 06-03",47.65,44.4733333333333,46.0866666666667,46.0866666666667,48.64,44.4733333333333,46.49,47.5466666666667,43.03,45.2666666666667,42.1933333333333,51.4933333333333,45.27,42.46,46.2666666666667,45.15,45.65,46.2233333333333,50.0266666666667,48.0833333333333,48.0833333333333,46.2666666666667,42.78,43.03,44.4666666666667,43.8066666666667,46.2066666666667,45.65,39.9933333333333,46.2233333333333,44.87,46.2666666666667,43.3066666666667,40.5566666666667,42.46,52.22,43.8066666666667,42.1933333333333,39.9933333333333,46.87,42.78,42.0266666666667,39.9933333333333,46.2066666666667,50.0266666666667,42.0266666666667,42.1933333333333,1981
"05-05 to 06-03",47.2533333333333,44.0566666666667,45.83,45.83,50.0766666666667,44.0566666666667,46.2566666666667,47.17,42.3266666666667,44.8966666666667,41.85,50.6266666666667,46.95,41.99,45.9933333333333,45.3533333333333,45.1766666666667,47.5366666666667,50.5933333333333,47.9,47.9,45.9933333333333,42.0066666666667,42.3266666666667,43.7233333333333,43.3633333333333,46.4533333333333,45.1766666666667,40.2066666666667,47.5366666666667,44.1,45.9933333333333,42.4733333333333,39.9066666666667,41.99,52.1566666666667,43.3633333333333,41.85,40.2066666666667,46.4766666666667,42.0066666666667,43.3066666666667,40.2066666666667,46.4533333333333,50.5933333333333,43.3066666666667,41.85,1982
"05-05 to 06-03",51.0066666666667,48.39,48.45,48.45,52.3266666666667,48.39,48.7766666666667,51.0966666666667,46.77,49.2833333333333,46.29,54.51,50.0066666666667,46.3066666666667,49.1666666666667,48.2666666666667,48.41,50.25,51.35,52.3566666666667,52.3566666666667,49.1666666666667,46.4166666666667,46.77,48.0633333333333,47.43,47.68,48.41,41.6466666666667,50.25,48.0733333333333,49.1666666666667,46.9766666666667,44.77,46.3066666666667,55.3866666666667,47.43,46.29,41.6466666666667,50.96,46.4166666666667,45.2033333333333,41.6466666666667,47.68,51.35,45.2033333333333,46.29,1983
"05-05 to 06-03",46.3633333333333,42.9466666666667,47.3133333333333,47.3133333333333,47.8066666666667,42.9466666666667,47.6666666666667,46.3366666666667,41.0066666666667,43.6966666666667,40.91,50.3133333333333,42.8466666666667,41.29,42.6566666666667,41.4466666666667,42.07,43.4666666666667,49.8333333333333,44.1766666666667,44.1766666666667,42.6566666666667,38.74,41.0066666666667,40.5933333333333,42.5733333333333,45.8133333333333,42.07,39.6,43.4666666666667,43.0633333333333,42.6566666666667,39.1066666666667,36.2866666666667,41.29,49.1633333333333,42.5733333333333,40.91,39.6,43.2233333333333,38.74,43.63,39.6,45.8133333333333,49.8333333333333,43.63,40.91,1984
"05-05 to 06-03",48.2,45.14,46.5533333333333,46.5533333333333,48.4,45.14,46.87,47.8133333333333,42.1666666666667,46.02,41.9933333333333,51.9866666666667,45.0666666666667,42.3233333333333,46.3766666666667,44.7266666666667,45.47,45.8333333333333,48.4933333333333,49.0266666666667,49.0266666666667,46.3766666666667,43.3266666666667,42.1666666666667,44.9333333333333,44.1366666666667,45.5433333333333,45.47,40.2566666666667,45.8333333333333,44.5933333333333,46.3766666666667,43.8566666666667,41.18,42.3233333333333,52.4233333333333,44.1366666666667,41.9933333333333,40.2566666666667,47.53,43.3266666666667,40.3466666666667,40.2566666666667,45.5433333333333,48.4933333333333,40.3466666666667,41.9933333333333,1985
"05-05 to 06-03",51.5633333333333,49.96,49.0233333333333,49.0233333333333,51.4066666666667,49.96,49.42,52.25,46.4333333333333,51.0766666666667,45.8433333333333,55.0233333333333,50.5166666666667,46.4,50.1633333333333,49.71,49.44,50.8666666666667,52.0533333333333,50.1933333333333,50.1933333333333,50.1633333333333,45.2166666666667,46.4333333333333,46.2633333333333,48.9366666666667,48.17,49.44,41.2433333333333,50.8666666666667,48.6833333333333,50.1633333333333,45.7366666666667,43.1766666666667,46.4,54.84,48.9366666666667,45.8433333333333,41.2433333333333,49.1733333333333,45.2166666666667,44.86,41.2433333333333,48.17,52.0533333333333,44.86,45.8433333333333,1986
"05-05 to 06-03",51.8933333333333,49.0966666666667,52.1866666666667,52.1866666666667,52.3533333333333,49.0966666666667,52.49,51.9333333333333,46.76,49.94,46.4466666666667,55.9666666666667,50.5966666666667,46.8533333333333,52.01,51.13,51.2966666666667,51.3866666666667,53.7866666666667,50.4133333333333,50.4133333333333,52.01,46.6933333333333,46.76,48.5766666666667,48.4766666666667,50.52,51.2966666666667,43.2766666666667,51.3866666666667,49.1733333333333,52.01,47.0766666666667,44.9266666666667,46.8533333333333,55.6566666666667,48.4766666666667,46.4466666666667,43.2766666666667,48.9433333333333,46.6933333333333,46.4166666666667,43.2766666666667,50.52,53.7866666666667,46.4166666666667,46.4466666666667,1987
"05-05 to 06-03",47.6366666666667,44.8933333333333,46.8033333333333,46.8033333333333,47.82,44.8933333333333,47.21,47.5733333333333,41.5533333333333,45.6933333333333,42.6133333333333,51.87,46.66,43.0166666666667,48.5166666666667,47.5866666666667,47.81,47.84,47.53,48.5133333333333,48.5133333333333,48.5166666666667,42.94,41.5533333333333,44.9533333333333,44.2166666666667,44.9133333333333,47.81,39.2533333333333,47.84,43.9966666666667,48.5166666666667,43.3233333333333,41,43.0166666666667,53.1166666666667,44.2166666666667,42.6133333333333,39.2533333333333,47.67,42.94,39.95,39.2533333333333,44.9133333333333,47.53,39.95,42.6133333333333,1988
"05-05 to 06-03",47.68,44.9866666666667,46.9766666666667,46.9766666666667,49.87,44.9866666666667,47.4266666666667,48.0966666666667,41.65,45.94,41.9733333333333,51.7866666666667,46.5533333333333,42.3466666666667,48.1633333333333,47.19,47.9466666666667,47.4333333333333,49.0866666666667,47.7766666666667,47.7766666666667,48.1633333333333,43.97,41.65,45.5666666666667,44.3233333333333,45.3466666666667,47.9466666666667,39.2566666666667,47.4333333333333,44.37,48.1633333333333,44.2333333333333,41.8466666666667,42.3466666666667,53.0733333333333,44.3233333333333,41.9733333333333,39.2566666666667,46.6133333333333,43.97,41.1833333333333,39.2566666666667,45.3466666666667,49.0866666666667,41.1833333333333,41.9733333333333,1989
"05-05 to 06-03",45.42,42.6866666666667,43.76,43.76,46.98,42.6866666666667,44.1333333333333,45.6266666666667,40.1466666666667,43.6033333333333,40.7166666666667,49.93,43.5466666666667,40.9033333333333,45.2366666666667,43.8466666666667,44.2866666666667,44.4,44.88,46.5133333333333,46.5133333333333,45.2366666666667,41.0333333333333,40.1466666666667,42.8666666666667,41.9933333333333,43.1033333333333,44.2866666666667,37.8833333333333,44.4,40.7833333333333,45.2366666666667,41.59,38.9333333333333,40.9033333333333,50.9233333333333,41.9933333333333,40.7166666666667,37.8833333333333,45.1166666666667,41.0333333333333,37.83,37.8833333333333,43.1033333333333,44.88,37.83,40.7166666666667,1990
