"Group.1","10ABAM_OR","11ABAM_OR","12ABGR_OR","13ABMAS_OR","14ABPR_OR","15ABPR_OR","16PIMO3_OR","17TSME_OR","18TSME_OR","19TSME_OR","1ABAM_OR","21PIEN_WA","22ABAM_WA","23ABLA_WA","25TSME_WA","26TSME_WA","27PIMO3_WA","28ABAM_WA","2ABCO_OR","30ABAM_WA","31ABAM_WA","33ABAM_WA","35ABAM_WA","36ABAM_WA","37ABAM_WA","39ABGR_WA","3ABCO_OR","40ABGR_WA","43ABMAS_WA","44ABPR_WA","45ABPR_WA","46ABPR_WA","48ABPR_WA","49ABPR_WA","4ABLA_OR","50ABPR_WA","54PIMO3_WA","55PIMO3_WA","57PIMO3_WA","58TSME_WA","59TSME_WA","5ABMA_OR","60TSME_WA","6ABMA_OR","7PILA_OR","8TSME_OR","9TSME_OR","year"
"05-15 to 06-13",49.41,46.1066666666667,48.5433333333333,48.5433333333333,50.3966666666667,46.1066666666667,48.95,49.2566666666667,44.94,46.8933333333333,43.9966666666667,54.25,46.6566666666667,44.1033333333333,47.8666666666667,46.75,47.2566666666667,47.7133333333333,52.52,48.7966666666667,48.7966666666667,47.8666666666667,44.21,44.94,45.5433333333333,45.4766666666667,48.7433333333333,47.2566666666667,42.38,47.7133333333333,47.0533333333333,47.8666666666667,44.7266666666667,41.7966666666667,44.1033333333333,53.4266666666667,45.4766666666667,43.9966666666667,42.38,47.5666666666667,44.21,43.9133333333333,42.38,48.7433333333333,52.52,43.9133333333333,43.9966666666667,1981
"05-15 to 06-13",49.3533333333333,46.0966666666667,47.6766666666667,47.6766666666667,51.3933333333333,46.0966666666667,48.09,49.3033333333333,44.67,46.95,43.98,53.06,49.19,43.95,48.2633333333333,47.62,47.2866666666667,49.7133333333333,51.88,49.9666666666667,49.9666666666667,48.2633333333333,45.4733333333333,44.67,46.8366666666667,45.41,47.8633333333333,47.2866666666667,41.6233333333333,49.7133333333333,46.6033333333333,48.2633333333333,46.05,43.0366666666667,43.95,54.4833333333333,45.41,43.98,41.6233333333333,48.71,45.4733333333333,44.04,41.6233333333333,47.8633333333333,51.88,44.04,43.98,1982
"05-15 to 06-13",55.12,52.54,52.33,52.33,55.6566666666667,52.54,52.6933333333333,55.23,50.13,53.42,50.6266666666667,58.34,52.9366666666667,50.4666666666667,52.24,51.4366666666667,51.53,53.1866666666667,55.8966666666667,54.6,54.6,52.24,49.23,50.13,50.7566666666667,51.6266666666667,52.0866666666667,51.53,45.98,53.1866666666667,51.67,52.24,49.7766666666667,47.64,50.4666666666667,57.9566666666667,51.6266666666667,50.6266666666667,45.98,53.1433333333333,49.23,50.4633333333333,45.98,52.0866666666667,55.8966666666667,50.4633333333333,50.6266666666667,1983
"05-15 to 06-13",46.6666666666667,43.2633333333333,46.8933333333333,46.8933333333333,48.3133333333333,43.2633333333333,47.2666666666667,46.53,41.3033333333333,43.98,41.0333333333333,50.5866666666667,43.6733333333333,41.2533333333333,43.6333333333333,42.4433333333333,43.01,44.2766666666667,49.7466666666667,45.5333333333333,45.5333333333333,43.6333333333333,40.06,41.3033333333333,41.94,42.8433333333333,45.95,43.01,39.5533333333333,44.2766666666667,43.3566666666667,43.6333333333333,40.5133333333333,37.59,41.2533333333333,49.95,42.8433333333333,41.0333333333333,39.5533333333333,44.6766666666667,40.06,42.5266666666667,39.5533333333333,45.95,49.7466666666667,42.5266666666667,41.0333333333333,1984
"05-15 to 06-13",53.3066666666667,50.7566666666667,50.2766666666667,50.2766666666667,52.63,50.7566666666667,50.5966666666667,52.6933333333333,46.3566666666667,51.49,47.2966666666667,56.41,49.3,47.7366666666667,50.1666666666667,48.59,49.33,49.97,53.1533333333333,52.1166666666667,52.1166666666667,50.1666666666667,47.4566666666667,46.3566666666667,48.8366666666667,49.6066666666667,49.44,49.33,44.04,49.97,48.88,50.1666666666667,48.0033333333333,45.1866666666667,47.7366666666667,56.1266666666667,49.6066666666667,47.2966666666667,44.04,50.7233333333333,47.4566666666667,45.2233333333333,44.04,49.44,53.1533333333333,45.2233333333333,47.2966666666667,1985
"05-15 to 06-13",58.42,57.1333333333333,55.85,55.85,56.9866666666667,57.1333333333333,56.1066666666667,59,53.1666666666667,58.23,52.73,61.23,56.5466666666667,53.29,56.0533333333333,55.5733333333333,55.5133333333333,56.9866666666667,58.53,54.8266666666667,54.8266666666667,56.0533333333333,51.5633333333333,53.1666666666667,52.3866666666667,56.0966666666667,54.8766666666667,55.5133333333333,47.27,56.9866666666667,55.7833333333333,56.0533333333333,52.1033333333333,49.5533333333333,53.29,60.1233333333333,56.0966666666667,52.73,47.27,53.56,51.5633333333333,51.29,47.27,54.8766666666667,58.53,51.29,52.73,1986
"05-15 to 06-13",51.02,48.2933333333333,51.9066666666667,51.9066666666667,50.9266666666667,48.2933333333333,52.24,51.11,45.7266666666667,49.1533333333333,46.3666666666667,55.5766666666667,49.99,46.63,50.66,49.9866666666667,49.8633333333333,50.4866666666667,53.3166666666667,50.27,50.27,50.66,45.67,45.7266666666667,47.47,47.7166666666667,50.6733333333333,49.8633333333333,43.7233333333333,50.4866666666667,48.1,50.66,46.02,43.7633333333333,46.63,55.0133333333333,47.7166666666667,46.3666666666667,43.7233333333333,49.0466666666667,45.67,45.7833333333333,43.7233333333333,50.6733333333333,53.3166666666667,45.7833333333333,46.3666666666667,1987
"05-15 to 06-13",47.4066666666667,44.6466666666667,47.2166666666667,47.2166666666667,47.9733333333333,44.6466666666667,47.6233333333333,47.3966666666667,40.9833333333333,45.4566666666667,42.23,51.5366666666667,45.9766666666667,42.54,47.89,47.02,47.23,46.9133333333333,47.1733333333333,47.3833333333333,47.3833333333333,47.89,42.1533333333333,40.9833333333333,43.8133333333333,43.9166666666667,44.7133333333333,47.23,39.13,46.9133333333333,43.5833333333333,47.89,42.6166666666667,39.7633333333333,42.54,51.9633333333333,43.9166666666667,42.23,39.13,46.4233333333333,42.1533333333333,39.3866666666667,39.13,44.7133333333333,47.1733333333333,39.3866666666667,42.23,1988
"05-15 to 06-13",50.6533333333333,48.0733333333333,49.64,49.64,52.1366666666667,48.0733333333333,50.08,51.1466666666667,45.3133333333333,48.9433333333333,45.3133333333333,54.85,49.7233333333333,45.6566666666667,51.38,50.4333333333333,50.96,50.5566666666667,52.1066666666667,50.87,50.87,51.38,47.4866666666667,45.3133333333333,48.97,47.53,48.2066666666667,50.96,41.7633333333333,50.5566666666667,46.89,51.38,47.7066666666667,45.32,45.6566666666667,55.69,47.53,45.3133333333333,41.7633333333333,49.72,47.4866666666667,44.2566666666667,41.7633333333333,48.2066666666667,52.1066666666667,44.2566666666667,45.3133333333333,1989
"05-15 to 06-13",45.9966666666667,43.3066666666667,44.8366666666667,44.8366666666667,47.21,43.3066666666667,45.1633333333333,46.06,40.8133333333333,44.18,41.6333333333333,51.3766666666667,43.81,41.8,45.5966666666667,44.1233333333333,44.56,44.56,45.36,46.17,46.17,45.5966666666667,41.12,40.8133333333333,42.6366666666667,42.5966666666667,43.85,44.56,38.6466666666667,44.56,41.47,45.5966666666667,41.6,38.77,41.8,51.52,42.5966666666667,41.6333333333333,38.6466666666667,44.8733333333333,41.12,38.2166666666667,38.6466666666667,43.85,45.36,38.2166666666667,41.6333333333333,1990
