"Group.1","10ABAM_OR","11ABAM_OR","12ABGR_OR","13ABMAS_OR","14ABPR_OR","15ABPR_OR","16PIMO3_OR","17TSME_OR","18TSME_OR","19TSME_OR","1ABAM_OR","21PIEN_WA","22ABAM_WA","23ABLA_WA","25TSME_WA","26TSME_WA","27PIMO3_WA","28ABAM_WA","2ABCO_OR","30ABAM_WA","31ABAM_WA","33ABAM_WA","35ABAM_WA","36ABAM_WA","37ABAM_WA","39ABGR_WA","3ABCO_OR","40ABGR_WA","43ABMAS_WA","44ABPR_WA","45ABPR_WA","46ABPR_WA","48ABPR_WA","49ABPR_WA","4ABLA_OR","50ABPR_WA","54PIMO3_WA","55PIMO3_WA","57PIMO3_WA","58TSME_WA","59TSME_WA","5ABMA_OR","60TSME_WA","6ABMA_OR","7PILA_OR","8TSME_OR","9TSME_OR","year"
"05-25 to 06-23",51.15,47.7333333333333,50.91,50.91,51.6966666666667,47.7333333333333,51.3066666666667,51.0566666666667,46.1066666666667,48.56,45.8666666666667,55.9933333333333,47.4233333333333,45.84,48.8366666666667,47.67,48.2633333333333,48.5666666666667,55.8,47.8833333333333,47.8833333333333,48.8366666666667,44.44,46.1066666666667,45.4966666666667,47.1333333333333,51.6633333333333,48.2633333333333,45.2533333333333,48.5666666666667,48.4866666666667,48.8366666666667,44.9133333333333,41.6966666666667,45.84,53.9666666666667,47.1333333333333,45.8666666666667,45.2533333333333,46.9066666666667,44.44,48.2,45.2533333333333,51.6633333333333,55.8,48.2,45.8666666666667,1981
"05-25 to 06-23",53.87,50.9933333333333,52.0766666666667,52.0766666666667,55.3,50.9933333333333,52.4566666666667,53.6733333333333,49.2766666666667,51.7733333333333,48.74,57.5733333333333,52.8766666666667,48.6233333333333,52.2466666666667,51.4766666666667,51.2533333333333,53.2333333333333,55.93,54.9133333333333,54.9133333333333,52.2466666666667,50.4033333333333,49.2766666666667,51.51,50.2533333333333,51.66,51.2533333333333,45.24,53.2333333333333,51.18,52.2466666666667,51.0833333333333,47.8833333333333,48.6233333333333,58.23,50.2533333333333,48.74,45.24,53.28,50.4033333333333,47.44,45.24,51.66,55.93,47.44,48.74,1982
"05-25 to 06-23",54.39,51.33,52.47,52.47,54.49,51.33,52.8466666666667,54.3533333333333,50.4566666666667,52.24,49.83,58.6566666666667,52.6866666666667,49.1433333333333,52.4333333333333,51.6066666666667,51.6933333333333,53.17,55.97,54.59,54.59,52.4333333333333,49.6633333333333,50.4566666666667,51.26,50.4933333333333,52.2533333333333,51.6933333333333,46.2733333333333,53.17,52.0933333333333,52.4333333333333,50.2433333333333,47.7666666666667,49.1433333333333,58.22,50.4933333333333,49.83,46.2733333333333,53.5166666666667,49.6633333333333,49.2966666666667,46.2733333333333,52.2533333333333,55.97,49.2966666666667,49.83,1983
"05-25 to 06-23",49.7066666666667,46.6466666666667,48.9733333333333,48.9733333333333,50.9666666666667,46.6466666666667,49.3366666666667,49.5233333333333,43.2633333333333,47.2833333333333,43.3133333333333,52.6066666666667,46.7866666666667,43.5533333333333,46.7066666666667,45.56,45.8966666666667,47.1866666666667,52.2,49.1033333333333,49.1033333333333,46.7066666666667,43.53,43.2633333333333,45.1933333333333,46.0066666666667,48.6533333333333,45.8966666666667,42.0366666666667,47.1866666666667,45.43,46.7066666666667,44.0333333333333,41.2,43.5533333333333,52.6366666666667,46.0066666666667,43.3133333333333,42.0366666666667,47.93,43.53,44.95,42.0366666666667,48.6533333333333,52.2,44.95,43.3133333333333,1984
"05-25 to 06-23",56.6833333333333,54.63,54.0066666666667,54.0066666666667,55.7666666666667,54.63,54.3266666666667,55.99,49.8833333333333,55.3066666666667,51.32,58.3666666666667,51.89,52.08,51.96,50.8566666666667,51.34,52.6533333333333,57.3333333333333,52.39,52.39,51.96,48.3966666666667,49.8833333333333,49.77,53.5866666666667,53.5833333333333,51.34,47.6433333333333,52.6533333333333,51.8766666666667,51.96,48.8866666666667,46.0466666666667,52.08,57.3466666666667,53.5866666666667,51.32,47.6433333333333,51.21,48.3966666666667,50.1766666666667,47.6433333333333,53.5833333333333,57.3333333333333,50.1766666666667,51.32,1985
"05-25 to 06-23",60.3333333333333,58.9833333333333,58.5833333333333,58.5833333333333,58.8866666666667,58.9833333333333,58.8433333333333,60.7733333333333,55.8433333333333,60.0233333333333,54.94,63.7966666666667,58.68,55.4133333333333,57.9633333333333,57.29,57.44,59.03,61.0933333333333,56.67,56.67,57.9633333333333,54.5566666666667,55.8433333333333,55.23,58.0133333333333,57.5766666666667,57.44,49.6966666666667,59.03,58.5266666666667,57.9633333333333,55.17,52.23,55.4133333333333,62.3433333333333,58.0133333333333,54.94,49.6966666666667,55.38,54.5566666666667,53.6833333333333,49.6966666666667,57.5766666666667,61.0933333333333,53.6833333333333,54.94,1986
"05-25 to 06-23",53.3833333333333,50.3933333333333,53.6966666666667,53.6966666666667,52.8466666666667,50.3933333333333,53.9933333333333,53.2633333333333,48.2733333333333,51.2266666666667,48.26,58.2766666666667,52.3266666666667,48.4566666666667,52.2533333333333,51.66,51.4233333333333,52.7033333333333,55.7833333333333,52.0966666666667,52.0966666666667,52.2533333333333,47.89,48.2733333333333,49.5533333333333,49.7733333333333,52.94,51.4233333333333,46.03,52.7033333333333,50.4433333333333,52.2533333333333,48.2366666666667,46.05,48.4566666666667,56.9833333333333,49.7733333333333,48.26,46.03,51.1233333333333,47.89,47.65,46.03,52.94,55.7833333333333,47.65,48.26,1987
"05-25 to 06-23",51.7066666666667,49.0733333333333,52.03,52.03,51.2966666666667,49.0733333333333,52.5133333333333,51.85,45.3866666666667,49.9166666666667,47.1366666666667,56.3533333333333,49.8433333333333,47.2766666666667,52.2166666666667,51.3866666666667,51.5333333333333,50.46,51.7233333333333,50.66,50.66,52.2166666666667,46.1333333333333,45.3866666666667,47.4133333333333,48.3966666666667,49.1433333333333,51.5333333333333,43.28,50.46,48.6766666666667,52.2166666666667,46.6266666666667,43.7466666666667,47.2766666666667,55.4766666666667,48.3966666666667,47.1366666666667,43.28,49.58,46.1333333333333,43.7633333333333,43.28,49.1433333333333,51.7233333333333,43.7633333333333,47.1366666666667,1988
"05-25 to 06-23",53.16,50.5933333333333,52.4933333333333,52.4933333333333,54.1333333333333,50.5933333333333,52.94,53.5733333333333,47.9333333333333,51.4566666666667,47.8566666666667,57.45,51.6933333333333,48.22,53.42,52.5166666666667,52.9066666666667,52.4666666666667,54.7633333333333,52.4633333333333,52.4633333333333,53.42,49.4866666666667,47.9333333333333,51.0033333333333,50.0533333333333,51.1466666666667,52.9066666666667,44.3966666666667,52.4666666666667,48.7733333333333,53.42,49.72,47.25,48.22,57.23,50.0533333333333,47.8566666666667,44.3966666666667,51.37,49.4866666666667,47.16,44.3966666666667,51.1466666666667,54.7633333333333,47.16,47.8566666666667,1989
"05-25 to 06-23",50.68,47.8666666666667,48.96,48.96,51.5966666666667,47.8666666666667,49.26,50.7033333333333,45.5166666666667,48.75,45.7966666666667,55.3,48.4933333333333,45.9333333333333,50.29,48.8566666666667,49.3366666666667,49.1733333333333,50.4966666666667,49.42,49.42,50.29,45.6333333333333,45.5166666666667,46.81,47.1266666666667,48.5066666666667,49.3366666666667,43.0133333333333,49.1733333333333,46.2466666666667,50.29,46.1433333333333,43.1,45.9333333333333,55.3866666666667,47.1266666666667,45.7966666666667,43.0133333333333,48.1633333333333,45.6333333333333,43.09,43.0133333333333,48.5066666666667,50.4966666666667,43.09,45.7966666666667,1990
